task,expert,endpoint,method,seed,ranking,same_checkpoint_control,validation_score25,test_fixed_score25,test_ranked_score25,validation_metric,test_metric,validation_call,test_call,threshold,operator,nominal_budget
cub,cub,MiniCPM,four_ratio,2027,probability_difference,True,0.9720833333333334,0.8029858474283742,0.8040386606834656,0.9866666666666667,0.8123921297894373,0.01,0.023990334829133587,-2.745852454915862e-14,ge,0.01
cub,cub,MiniCPM,four_ratio,2028,log_ratio,False,0.9560833333333333,0.7569036934760097,0.7904729030031066,0.9833333333333333,0.8066965826717294,0.01,0.05350362443907491,-3.7635207176208496,ge,0.01
cub,cub,MiniCPM,four_ratio,2028,probability_difference,True,0.9708333333333333,0.8005695547117708,0.8029340697273042,0.9858333333333333,0.8130824991370383,0.01,0.027269589230238176,-3.485907396072463e-11,ge,0.01
cub,cub,MiniCPM,four_ratio,2029,log_ratio,False,0.9623333333333334,0.7808767690714532,0.7983258543320677,0.9858333333333333,0.8132550914739386,0.01,0.031066620642043494,-1.9326815605163574,ge,0.01
cub,cub,MiniCPM,four_ratio,2029,probability_difference,True,0.973,0.8036244390749051,0.8048671039005868,0.9858333333333333,0.8139454608215395,0.01,0.022782188470831896,-2.99900972111633e-11,ge,0.01
cub,cub,MiniCPM,four_ratio,2030,log_ratio,False,0.9343333333333333,0.71425612702796,0.7994994822229893,0.9858333333333333,0.8149810148429409,0.01,0.04659993096306524,-1.5429136753082275,ge,0.01
cub,cub,MiniCPM,four_ratio,2030,probability_difference,True,0.9726666666666667,0.809250949257853,0.8090956161546428,0.9858333333333333,0.8149810148429409,0.01,0.015188125647221263,-0.015334374271333218,ge,0.01
cub,cub,MiniCPM,gain,2026,regression,False,0.97375,0.8086813945460822,0.8095098377632034,0.9858333333333333,0.8146358301691405,0.01,0.013289609941318605,0.06945275515317917,ge,0.01
cub,cub,MiniCPM,gain,2027,regression,False,0.9740833333333333,0.8012254055919917,0.8041076976182258,0.9858333333333333,0.8117017604418364,0.01,0.021919226786330688,0.20536428689956665,ge,0.01
cub,cub,MiniCPM,gain,2028,regression,False,0.9730833333333333,0.8073179150845703,0.8087504314808422,0.9858333333333333,0.8149810148429409,0.01,0.026924404556437694,0.02451162599027157,ge,0.01
cub,cub,MiniCPM,gain,2029,regression,False,0.974,0.8055574732481878,0.8084225060407317,0.9858333333333333,0.813600276147739,0.01,0.037625129444252677,0.06620025634765625,ge,0.01
cub,cub,MiniCPM,gain,2030,regression,False,0.97375,0.8062133241284087,0.808526061442872,0.9858333333333333,0.8149810148429409,0.01,0.02347255781843286,0.18179216980934143,ge,0.01
cub,cub,MiniCPM,route,2026,probability,False,0.9069166666666666,0.688488091128754,0.779306178805661,0.9808333333333333,0.8084225060407317,0.01,0.03348291335864688,0.09526840597391129,ge,0.01
cub,cub,MiniCPM,route,2027,probability,False,0.9094166666666667,0.6993614083534692,0.7795823265447014,0.9816666666666667,0.809285467725233,0.01,0.02537107352433552,0.06959006190299988,ge,0.01
cub,cub,MiniCPM,route,2028,probability,False,0.9061666666666667,0.6632896099413186,0.7816879530548844,0.9825,0.8104936140835347,0.01,0.027096996893337937,0.005073598586022854,ge,0.01
cub,cub,MiniCPM,route,2029,probability,False,0.9093333333333334,0.6923886779426994,0.779271660338281,0.98,0.803589920607525,0.01,0.03676216775975147,0.08050795644521713,ge,0.01
cub,cub,MiniCPM,route,2030,probability,False,0.9065,0.6734380393510528,0.7793579565067311,0.9825,0.8087676907145323,0.01,0.026406627545736968,0.10346683859825134,ge,0.01
cub,cub,Qwen3.8,error,2026,probability,False,0.9205833333333333,0.7482740766309977,0.794356230583362,0.9808333333333333,0.808595098377632,0.01,0.03158439765274422,0.5351537466049194,ge,0.01
cub,cub,Qwen3.8,error,2027,probability,False,0.9194166666666667,0.749206075250259,0.7945288229202624,0.98,0.8073869520193303,0.01,0.04297549188816017,0.4191480576992035,ge,0.01
cub,cub,Qwen3.8,error,2028,probability,False,0.9189166666666666,0.7391957197100449,0.8024853296513634,0.9808333333333333,0.8146358301691405,0.01,0.039868829823955815,0.1944640427827835,ge,0.01
